,身份证号,姓名,生日,性别,家庭住址
3988,'445302200403255457 ,秦淑兰,2004-03-25,男,安徽省秀荣县永川六安路W座 662989
3989,'510322199803278563 ,黄博,1998-03-27,女,北京市想县合川六盘水街g座 697507
3990,'210503200403258877 ,谢瑞,2004-03-25,男,广东省燕市黄浦通辽街Y座 500927
3991,'130000200703256674 ,黄云,2007-03-25,男,福建省淑华市静安葛路n座 776314
3992,'330600200003262483 ,李磊,2000-03-26,女,天津市梧州县萧山张街V座 214024
3993,'130426199703274928 ,聂明,1997-03-27,女,宁夏回族自治区柳市东丽南京路Y座 169043
3994,'130303200303260469 ,王淑华,2003-03-26,女,重庆市娟县山亭合肥街R座 272613
3995,'532524200203262562 ,刘秀云,2002-03-26,女,湖北省娜县高港通辽路H座 623991
3996,'370100199303288751 ,王淑华,1993-03-28,男,香港特别行政区龙市平山范路u座 335560
3997,'36078119920328025X ,袁建平,1992-03-28,男,浙江省宁县海陵宁德街U座 308428
3998,'52262919980327046X ,叶小红,1998-03-27,女,浙江省冬梅县南溪冯街u座 805409
3999,'429004200103264024 ,张欢,2001-03-26,女,云南省太原县沙湾李路J座 461775
4000,'150423199403280618 ,刘玉珍,1994-03-28,男,甘肃省柳州县城北福州路b座 258289
4001,'361024199603272369 ,张桂英,1996-03-27,女,云南省峰县朝阳牛街B座 382615
4002,'130632199203288301 ,马莹,1992-03-28,女,山东省洋县南溪江路w座 178764
4003,'621126200403257102 ,姚秀梅,2004-03-25,女,重庆市海口县丰都杨街U座 415349
4004,'54242819920328723X ,范春梅,1992-03-28,男,江西省玲县滨城广州街t座 522412
4005,'520324199503283349 ,邵颖,1995-03-28,女,江苏省健市长寿石家庄路V座 323978
4006,'370700199703273914 ,罗婷婷,1997-03-27,男,河北省嘉禾市房山兴安盟街J座 419470
4007,'610327200503251554 ,李璐,2005-03-25,男,甘肃省淮安市萧山袁路n座 533924
4008,'140427200003265469 ,方慧,2000-03-26,女,上海市贵阳县崇文澳门街C座 344167
4009,'530300200603252335 ,冯丽丽,2006-03-25,男,江西省成县清城梁路Q座 852101
4010,'53342219940328486X ,利欢,1994-03-28,女,陕西省成都县金平东莞路b座 343779
4011,'522633199503287969 ,赖辉,1995-03-28,女,黑龙江省西宁县吉区济南街W座 184965
4012,'43022520020326161X ,李涛,2002-03-26,男,江苏省宁县平山庞街C座 315520
4013,'361102199303285392 ,赵楠,1993-03-28,男,福建省玉珍市高明郭街f座 763847
4014,'652328199103295013 ,郭辉,1991-03-29,男,西藏自治区大冶县沈北新彭街b座 368443
4015,'370921199603275675 ,武丽华,1996-03-27,男,辽宁省淑华市双滦李街O座 251993
4016,'451022200103263823 ,马雪梅,2001-03-26,女,天津市璐市新城齐齐哈尔街u座 423208
4017,'220822199603274398 ,张洋,1996-03-27,男,黑龙江省兴城市南长徐街j座 907824
4018,'360105200103263045 ,谭晨,2001-03-26,女,北京市沈阳县南湖深圳街Y座 832159
4019,'430611199703273324 ,陈淑华,1997-03-27,女,台湾省成都市南溪石家庄路x座 767387
4020,'632802200603251266 ,穆雪,2006-03-25,女,贵州省兰州县沈北新深圳街a座 299758
4021,'341721199403287916 ,禹岩,1994-03-28,男,吉林省柳州市门头沟南昌街Q座 514206
4022,'450922199403281727 ,蒋敏,1994-03-28,女,西藏自治区上海市西峰周街q座 294663
4023,'441423200803246457 ,胡瑞,2008-03-24,男,北京市梧州县龙潭王路L座 865648
4024,'410184200803243301 ,贾帆,2008-03-24,女,四川省兰州县沙市苏路H座 123943
4025,'150823200803244314 ,高鹏,2008-03-24,男,内蒙古自治区乌鲁木齐市安次淮安路x座 380877
4026,'340122199703274351 ,张宁,1997-03-27,男,福建省佛山县上街胡街V座 538808
4027,'520322200303267734 ,刘宇,2003-03-26,男,湖北省石家庄市海港金路O座 798833
4028,'52010220070325491X ,范雪,2007-03-25,男,澳门特别行政区太原市海陵陈街Z座 949704
4029,'513331200403256511 ,杨秀荣,2004-03-25,男,辽宁省秀芳市西夏魏街M座 279882
4030,'210602200403254154 ,杜凯,2004-03-25,男,山东省璐县涪城周路T座 239947
4031,'440825199503284425 ,邓海燕,1995-03-28,女,广西壮族自治区芳市白云张路M座 755539
4032,'350527200403251394 ,赵岩,2004-03-25,男,山东省潮州市怀柔郭路j座 465610
4033,'610000200703252360 ,迟荣,2007-03-25,女,北京市畅市上街六盘水街N座 641815
4034,'141002200203261085 ,唐桂香,2002-03-26,女,内蒙古自治区健市高港农街t座 613624
4035,'110100200603259458 ,张俊,2006-03-25,男,辽宁省太原县滨城孙街M座 530806
4036,'130622200103266562 ,姚海燕,2001-03-26,女,辽宁省佳县高明夏街V座 934863
4037,'45098119990327454X ,薛建国,1999-03-27,女,山东省丽市怀柔李街w座 555558
4038,'370212199903273706 ,王建国,1999-03-27,女,天津市佛山市浔阳荆门路W座 105202
4039,'330102199703271292 ,张冬梅,1997-03-27,男,宁夏回族自治区秀华市永川董街l座 338827
4040,'130130199903276168 ,陈桂英,1999-03-27,女,江西省玲市沙湾赵路D座 141016
4041,'210800200003265522 ,萧彬,2000-03-26,女,海南省马鞍山市平山袁街a座 121150
4042,'460202199303286262 ,胡秀云,1993-03-28,女,安徽省玉兰市魏都辛集街W座 820211
4043,'43030119990327164X ,刘慧,1999-03-27,女,陕西省澳门县怀柔杨路S座 458233
4044,'500151200503253262 ,许文,2005-03-25,女,河北省凤兰县蓟州温路C座 201302
4045,'520203200703259827 ,尹阳,2007-03-25,女,江西省沈阳市徐汇佛山路a座 470829
4046,'421201199803276244 ,冯凤英,1998-03-27,女,广东省西宁市山亭柳州路H座 953262
4047,'371500199703271054 ,王洁,1997-03-27,男,浙江省张家港市崇文太原街c座 203314
4048,'141125200003267546 ,李霞,2000-03-26,女,台湾省帅县海陵李街I座 195067
4049,'222402199303288354 ,胡秀荣,1993-03-28,男,台湾省阜新县清浦蒙路l座 347302
4050,'210601199503286514 ,杨彬,1995-03-28,男,河南省伟县梁平兰州街d座 150014
4051,'140701199503282270 ,赖志强,1995-03-28,男,新疆维吾尔自治区伟市城北彭街Y座 259401
4052,'430221199203289718 ,沈英,1992-03-28,男,浙江省浩县花溪呼和浩特街r座 388429
4053,'360723199603276862 ,李超,1996-03-27,女,重庆市重庆县花溪西宁路d座 802566
4054,'441701199503287882 ,陈玉,1995-03-28,女,江苏省嘉禾市西夏张街I座 660907
4055,'340721199503289256 ,邢丽华,1995-03-28,男,山西省秀芳市西夏巢湖路I座 116902
4056,'370785199803278847 ,陈凤兰,1998-03-27,女,黑龙江省辛集市沈北新翟街W座 555724
4057,'511381199703275235 ,徐建平,1997-03-27,男,浙江省南京县大兴张路M座 276698
4058,'35010020080324372X ,耿淑珍,2008-03-24,女,广西壮族自治区沈阳市平山辛集路C座 953429
4059,'451226200503259635 ,赵莉,2005-03-25,男,江苏省志强县黄浦时路r座 800550
4060,'130634200103263607 ,周勇,2001-03-26,女,云南省娟市房山黄街k座 812442
4061,'210301200103262168 ,郭帆,2001-03-26,女,湖北省桂荣市长寿李路A座 346976
4062,'610629199403283501 ,毛倩,1994-03-28,女,宁夏回族自治区兴城市孝南蒋路s座 806724
4063,'14050019960327633X ,王玉梅,1996-03-27,男,香港特别行政区冬梅县朝阳宁德街D座 744357
4064,'320211200103262128 ,任超,2001-03-26,女,陕西省明县南湖戴路h座 513254
4065,'653100199303282069 ,曲玉英,1993-03-28,女,浙江省宇市大东济南街j座 439703
4066,'542429200803241181 ,蔡利,2008-03-24,女,重庆市大冶县金平宜都路G座 805530
4067,'421224200203265218 ,王彬,2002-03-26,男,广西壮族自治区石家庄县花溪何街i座 744580
4068,'522631200203268494 ,卢秀云,2002-03-26,男,台湾省北京市门头沟广州路V座 966307
4069,'430482200403256944 ,丁萍,2004-03-25,女,吉林省通辽市萧山赵街D座 774860
4070,'150782200403251800 ,李桂花,2004-03-25,女,江西省呼和浩特市海港苗路g座 907596
4071,'440232200803248342 ,牛凤兰,2008-03-24,女,山西省秀华市沈北新六盘水街l座 925565
4072,'51342319960327516X ,张龙,1996-03-27,女,贵州省志强市海陵沈阳路S座 640684
4073,'130132200603252621 ,鲁健,2006-03-25,女,江苏省宜都市蓟州齐齐哈尔街n座 938680
4074,'371601200403258445 ,蔡丹丹,2004-03-25,女,湖南省飞县闵行欧阳路A座 661683
4075,'141002200503256691 ,姜倩,2005-03-25,男,澳门特别行政区太原市南湖沈阳街m座 757229
4076,'44120319970327554X ,陈兵,1997-03-27,女,北京市通辽县梁平张街L座 857715
4077,'210900199003299941 ,曹宇,1990-03-29,女,西藏自治区柳县上街魏路O座 628168
4078,'140227200403255242 ,李建国,2004-03-25,女,福建省红霞市金平长沙街K座 445184
4079,'511901199003291593 ,文建平,1990-03-29,男,西藏自治区兰州市城东陈街H座 343394
4080,'371100199003297622 ,蔡金凤,1990-03-29,女,青海省广州县高港罗路V座 610038
4081,'320600199403285986 ,李斌,1994-03-28,女,香港特别行政区淑兰县西峰邯郸街T座 810465
4082,'130730199903275440 ,刘利,1999-03-27,女,山西省亮县锡山梧州路r座 252861
4083,'510727199803276510 ,王坤,1998-03-27,男,贵州省佛山县朝阳兰州街T座 964893
4084,'653201200103260823 ,徐军,2001-03-26,女,台湾省英县锡山朱街A座 470708
4085,'450202199903273690 ,崔凯,1999-03-27,男,江苏省佛山市朝阳海门街k座 910212
4086,'441702200003267289 ,彭莉,2000-03-26,女,海南省马鞍山县清浦潜江街L座 974387
4087,'360601200003261263 ,田海燕,2000-03-26,女,河北省浩县兴山巢湖路Z座 964792
4088,'130729200803248242 ,周红,2008-03-24,女,湖北省颖市华龙兰州街U座 336998
4089,'360700200103268779 ,王刚,2001-03-26,男,北京市哈尔滨市兴山李街D座 734540
4090,'360728199603270294 ,王凯,1996-03-27,男,湖北省北镇市高明赵路P座 606039
4091,'622924199403286209 ,傅健,1994-03-28,女,内蒙古自治区宜都市城北程路h座 671162
4092,'450221200203264317 ,孙平,2002-03-26,男,山东省澳门市花溪吴街f座 490019
4093,'450600200703252320 ,刘瑜,2007-03-25,女,云南省沈阳市高坪昆明街f座 684152
4094,'371722199603273430 ,赖桂兰,1996-03-27,男,北京市佳市闵行东莞街L座 402495
4095,'411481199103290740 ,刘桂香,1991-03-29,女,青海省通辽市梁平关岭街A座 831744
4096,'141182200003264203 ,岳凤兰,2000-03-26,女,香港特别行政区太原县黄浦南宁路X座 765554
4097,'530522199403281872 ,钱英,1994-03-28,男,山东省勇县璧山位街h座 536544
4098,'370406199103293454 ,贾浩,1991-03-29,男,新疆维吾尔自治区深圳市淄川张街B座 484641
4099,'510501200803249062 ,马凤英,2008-03-24,女,安徽省涛市怀柔王街J座 857268
4100,'620623199203281433 ,赵刚,1992-03-28,男,澳门特别行政区冬梅县魏都呼和浩特路K座 808776
4101,'35098220070325258X ,王宇,2007-03-25,女,西藏自治区六盘水县普陀刘路k座 765690
4102,'510100199403289520 ,谭红,1994-03-28,女,海南省桂芳市花溪惠州路l座 513967
4103,'542428199703278380 ,陈楠,1997-03-27,女,黑龙江省南京市和平刘街H座 602034
4104,'410700200403258999 ,王丽丽,2004-03-25,男,江苏省玉英市城北李路C座 639054
4105,'640106200703254162 ,李玉珍,2007-03-25,女,重庆市六盘水市门头沟张家港街d座 342451
4106,'371723200703258328 ,高凤英,2007-03-25,女,四川省辽阳市黄浦许街T座 438460
4107,'150501200203267075 ,刘博,2002-03-26,男,甘肃省丽县城东大冶街C座 323770
4108,'460101200203262953 ,陈颖,2002-03-26,男,广西壮族自治区桂花市沈河张街S座 728831
4109,'210303200103265476 ,陈小红,2001-03-26,男,广西壮族自治区海门县高明六安街X座 624680
4110,'532528200603259739 ,曲秀英,2006-03-25,男,安徽省杭州市璧山黄路j座 123464
4111,'621024200403251773 ,杨斌,2004-03-25,男,北京市太原市西峰石家庄路D座 401571
4112,'210101199103297196 ,李超,1991-03-29,男,浙江省长春市黄浦南昌街s座 792073
4113,'530129200403251460 ,牛玉华,2004-03-25,女,青海省婷婷市清城郑州街W座 755725
4114,'632600199203288634 ,蔡淑兰,1992-03-28,男,浙江省杭州县南长马路g座 580571
4115,'522729199303285564 ,张静,1993-03-28,女,安徽省杨县合川简路r座 217934
4116,'15078319900329831X ,林华,1990-03-29,男,湖北省利市海港海口路a座 759147
4117,'130804199003293988 ,邓鹏,1990-03-29,女,西藏自治区荣县上街乌鲁木齐街H座 491774
4118,'511124199003297638 ,胡燕,1990-03-29,男,新疆维吾尔自治区秀珍县翔安刘街y座 748929
4119,'370686200803246526 ,张博,2008-03-24,女,台湾省宜都县高明沈阳路o座 338053
4120,'654301199103294047 ,丁婷婷,1991-03-29,女,宁夏回族自治区大冶市南湖陈街i座 170135
4121,'513226200103260571 ,李浩,2001-03-26,男,广西壮族自治区亮县蓟州长沙街b座 299000
4122,'150621200103269306 ,滕健,2001-03-26,女,湖南省昆明县山亭李街j座 760776
4123,'410900199003297310 ,王淑英,1990-03-29,男,浙江省台北县锡山齐齐哈尔街e座 721590
4124,'440500199803271913 ,秦博,1998-03-27,男,江苏省长春县合川许路Z座 488484
4125,'420602199703275604 ,毕欢,1997-03-27,女,西藏自治区澳门市合川余路X座 502368
4126,'621021199103291154 ,吴小红,1991-03-29,男,宁夏回族自治区兵县永川辛集街T座 816729
4127,'44142319970327819X ,高楠,1997-03-27,男,甘肃省玉兰市西夏兴城路R座 202369
4128,'451224199103299971 ,陈英,1991-03-29,男,山西省建军县华龙长春街o座 889998
4129,'360281199903276844 ,周淑珍,1999-03-27,女,西藏自治区雪梅市房山钱街o座 659808
4130,'410502200403256290 ,张燕,2004-03-25,男,福建省嘉禾市魏都太原街x座 959983
4131,'320321199403280478 ,陈玉梅,1994-03-28,男,北京市梧州市西夏广州路h座 855664
4132,'230781200703258418 ,刘艳,2007-03-25,男,河南省玉县江北陈街b座 835171
4133,'350926200303262200 ,赵瑜,2003-03-26,女,陕西省太原县沈北新大冶路R座 310791
4134,'330922200703251552 ,阎娟,2007-03-25,男,台湾省倩县城北邯郸街g座 806743
4135,'330382200303262352 ,卜峰,2003-03-26,男,广西壮族自治区沈阳市清浦张家港街r座 127340
4136,'430525200403259975 ,魏婷,2004-03-25,男,香港特别行政区丹丹市金平任街D座 952049
4137,'340303199303286363 ,罗畅,1993-03-28,女,山西省淑兰县南长邵路N座 272548
4138,'621102199403288295 ,金阳,1994-03-28,男,江苏省乌鲁木齐县吉区辛集路R座 885591
4139,'140401200003269722 ,欧丽华,2000-03-26,女,广东省秀华县南湖西安街f座 146507
4140,'520000200803240592 ,欧敏,2008-03-24,男,广西壮族自治区宜都县蓟州卢街X座 142441
4141,'511501200303260813 ,叶琴,2003-03-26,男,江苏省合肥县安次张街X座 126282
4142,'610203199503281145 ,高婷,1995-03-28,女,浙江省秀荣县南溪杨路N座 113310
4143,'420381199303288878 ,孙波,1993-03-28,男,香港特别行政区云县大兴王街o座 277975
4144,'632222200403252208 ,罗秀华,2004-03-25,女,广西壮族自治区桂香市怀柔通辽街F座 547724
4145,'500117199103297508 ,覃淑兰,1991-03-29,女,四川省岩县南长李街a座 465727
4146,'64020120040325798X ,沈娜,2004-03-25,女,重庆市六安县高坪沈阳街a座 293514
4147,'360981199403285339 ,任柳,1994-03-28,男,浙江省福州县璧山裴路P座 902961
4148,'130625199403287844 ,朱亮,1994-03-28,女,上海市邯郸市蓟州北京路D座 702091
4149,'632622200403258126 ,傅兵,2004-03-25,女,山东省合山市大兴贵阳街u座 510140
4150,'620621200203263844 ,胡秀英,2002-03-26,女,山东省成都县城东西宁路F座 276286
4151,'220501200403258761 ,王帆,2004-03-25,女,陕西省巢湖市普陀长春街Z座 663705
4152,'610729199703278646 ,陈宇,1997-03-27,女,浙江省莹县清浦赵街z座 357741
4153,'440881200403251243 ,陈佳,2004-03-25,女,宁夏回族自治区勇县涪城辛集路P座 150685
4154,'450602199203280816 ,孙霞,1992-03-28,男,上海市林县长寿广州街T座 783340
4155,'341501199603271744 ,王浩,1996-03-27,女,河南省楠市山亭王路g座 754354
4156,'652222199303286062 ,王磊,1993-03-28,女,台湾省深圳县秀英刘路W座 287579
4157,'530824200103260409 ,全坤,2001-03-26,女,内蒙古自治区丹丹市萧山澳门街b座 966632
4158,'530701200103260222 ,杨桂花,2001-03-26,女,北京市璐县东城王路g座 631493
4159,'21090019950328739X ,刘华,1995-03-28,男,江苏省深圳市吉区兰路z座 121862
4160,'350501200103263103 ,张玉梅,2001-03-26,女,江苏省潮州市上街陈路V座 535458
4161,'421101199803279167 ,傅莉,1998-03-27,女,黑龙江省北京县高港南昌路q座 658802
4162,'430601199303285243 ,吴云,1993-03-28,女,澳门特别行政区阜新市淄川济南路s座 446033
4163,'150202199003290902 ,萧宁,1990-03-29,女,西藏自治区深圳市兴山成都路L座 245528
4164,'653131199303283496 ,詹桂英,1993-03-28,男,天津市兴城市六枝特鲁街p座 459145
4165,'530624199603273007 ,马丽丽,1996-03-27,女,安徽省沈阳市萧山庞路s座 332224
4166,'360429199503283581 ,宋欣,1995-03-28,女,重庆市关岭市萧山胥路a座 501686
4167,'130200199803272212 ,勾婷婷,1998-03-27,男,山西省北京县高坪昆明街O座 188366
4168,'410326199503288884 ,姚超,1995-03-28,女,内蒙古自治区北京市崇文周街F座 365867
4169,'653023199203281316 ,杨畅,1992-03-28,男,新疆维吾尔自治区秀梅市龙潭唐街c座 817920
4170,'441427199703276181 ,阮淑英,1997-03-27,女,内蒙古自治区楠县山亭北镇街R座 781061
4171,'53042320070325264X ,李坤,2007-03-25,女,江西省桂荣市普陀大冶街a座 418452
4172,'350922200703256605 ,吴洋,2007-03-25,女,海南省建平县清河辽阳路y座 988153
4173,'430302199803279448 ,崔畅,1998-03-27,女,甘肃省玲县怀柔邓街w座 854684
4174,'350521199503285088 ,周斌,1995-03-28,女,云南省想县六枝特太原街Q座 702987
4175,'231222199103295213 ,孙杰,1991-03-29,男,北京市拉萨县花溪哈尔滨街R座 740062
4176,'54022719990327844X ,吕超,1999-03-27,女,贵州省玉市东丽丁街b座 100331
4177,'610902199503286183 ,李淑华,1995-03-28,女,陕西省南京县西峰丁街D座 184297
4178,'621000200303262087 ,王伟,2003-03-26,女,山西省岩县徐汇深圳街h座 208835
4179,'430800200403256239 ,陈萍,2004-03-25,男,澳门特别行政区波县金平济南街q座 801649
4180,'411724199903271782 ,罗秀荣,1999-03-27,女,湖北省宇市双滦窦路h座 566597
4181,'32011319910329739X ,董斌,1991-03-29,男,河北省长沙市城北武汉街V座 959886
4182,'441427200603250270 ,田婷婷,2006-03-25,男,安徽省巢湖县浔阳巢湖路W座 898169
4183,'431003199603275478 ,范冬梅,1996-03-27,男,山东省玉英县吉区武汉路Q座 875171
4184,'542122199903277089 ,狄丽,1999-03-27,女,海南省合肥市璧山李街q座 119613
4185,'131001200003266430 ,凌秀云,2000-03-26,男,台湾省海燕县徐汇惠州路n座 899411
4186,'450200199603277179 ,徐帆,1996-03-27,男,辽宁省丽娟县六枝特六盘水路L座 197596
4187,'652824200103263764 ,张彬,2001-03-26,女,江苏省丽娟市门头沟南昌路M座 635047
4188,'340104200003263910 ,吴莉,2000-03-26,男,海南省桂芳县兴山兰州街L座 546381
4189,'340506200003269161 ,张桂芝,2000-03-26,女,广西壮族自治区通辽县和平兴城路D座 689722
4190,'450300199503283438 ,熊丹,1995-03-28,男,贵州省金凤县平山巢湖路m座 819159
4191,'410782199003294711 ,唐玉华,1990-03-29,男,海南省坤市江北徐街z座 393255
4192,'511322199103298871 ,王冬梅,1991-03-29,男,辽宁省南昌市兴山南昌路C座 284384
4193,'621221200803242763 ,张志强,2008-03-24,女,台湾省兴安盟市大兴长春路T座 196530
4194,'210901199403280066 ,叶丹,1994-03-28,女,河北省凤英县淄川太原路T座 948404
4195,'513226199003292204 ,牛小红,1990-03-29,女,山东省宁市西夏刘路q座 546930
4196,'120115200703256904 ,赵玉,2007-03-25,女,贵州省成都市房山朱路G座 839155
4197,'522729200603253527 ,刘彬,2006-03-25,女,青海省东市白云香港街u座 926640
4198,'340703200103262276 ,顾磊,2001-03-26,男,陕西省淑华县六枝特何路K座 683675
4199,'540223200503253577 ,丁萍,2005-03-25,男,香港特别行政区帆县南溪深圳街O座 940194
4200,'611025200303262680 ,魏秀荣,2003-03-26,女,广西壮族自治区飞县城北荆门路g座 635905
4201,'654022200103261553 ,李建平,2001-03-26,男,宁夏回族自治区成都县和平福州路P座 311232
4202,'320508200103265722 ,周兰英,2001-03-26,女,重庆市秀兰县清浦关岭街y座 610733
4203,'530823199103290868 ,周瑞,1991-03-29,女,安徽省惠州市黄浦杭州路r座 261169
4204,'440205199003293722 ,陈建平,1990-03-29,女,北京市秀芳市蓟州刘路C座 304894
4205,'420583199103290336 ,李秀华,1991-03-29,男,宁夏回族自治区浩县南溪邹路R座 208334
4206,'130983200603252393 ,王彬,2006-03-25,男,湖北省云市朝阳孟路F座 815900
4207,'44520320030326949X ,徐红霞,2003-03-26,男,上海市兴城市沙市萧路B座 850498
4208,'500112199203284219 ,洪健,1992-03-28,男,四川省柳市新城何街D座 206918
4209,'450326199503280089 ,赵玉英,1995-03-28,女,江苏省兴安盟市孝南樊街F座 322053
4210,'440104199703276542 ,余婷婷,1997-03-27,女,新疆维吾尔自治区沈阳县双滦邯郸街m座 379708
4211,'230805200103265349 ,黄楠,2001-03-26,女,云南省勇市锡山巢湖街V座 973445
4212,'530103200703257473 ,罗宁,2007-03-25,男,河南省宜都市合川胡路I座 696092
4213,'610831199003290801 ,王斌,1990-03-29,女,贵州省合山市平山马路r座 846901
4214,'231001199803277531 ,颜坤,1998-03-27,男,贵州省辛集市长寿南宁街t座 904793
4215,'520327200203262815 ,马雷,2002-03-26,男,辽宁省昆明市闵行台北街e座 318036
4216,'231083199903276397 ,吴辉,1999-03-27,男,天津市南京市安次郭路T座 966112
4217,'511421200403250639 ,江坤,2004-03-25,男,安徽省上海市浔阳武汉路g座 970291
4218,'510781199203285753 ,蒋婷,1992-03-28,男,上海市济南市上街东莞街z座 422859
4219,'230112200003264109 ,朱桂花,2000-03-26,女,广西壮族自治区银川县城东合山街E座 387404
4220,'511900200003263137 ,石桂芝,2000-03-26,男,澳门特别行政区兰州市江北刘街j座 115101
4221,'611023200503252353 ,徐洁,2005-03-25,男,重庆市乌鲁木齐市静安海口路T座 478266
4222,'610524199103291190 ,匡海燕,1991-03-29,男,河北省银川市璧山南昌街P座 664572
4223,'610323199903274762 ,魏峰,1999-03-27,女,重庆市伟县沙市柯街J座 583866
4224,'41152120020326056X ,蔡瑞,2002-03-26,女,贵州省哈尔滨市长寿贵阳路g座 186472
4225,'360124200503255502 ,曹琴,2005-03-25,女,山东省丹县南长杜街U座 664002
4226,'430502200703251866 ,张建华,2007-03-25,女,北京市建国县大东陈路v座 662432
4227,'411701199803270630 ,陈玉兰,1998-03-27,男,海南省巢湖县城北六盘水路e座 902992
4228,'360201200403252233 ,杜荣,2004-03-25,男,吉林省艳县大东郑州路k座 173791
4229,'540225199303288158 ,孙峰,1993-03-28,男,台湾省通辽市崇文周街g座 525662
4230,'513222200403259657 ,李海燕,2004-03-25,男,广西壮族自治区乌鲁木齐市吉区潘路Z座 182953
4231,'360983199903273337 ,甘娜,1999-03-27,男,山东省亮县海港曹街Y座 732650
4232,'32020520070325030X ,张雪,2007-03-25,女,内蒙古自治区荆门县东丽姚街Q座 463871
4233,'530802200103267266 ,杨瑜,2001-03-26,女,内蒙古自治区欣市六枝特辽阳路J座 650496
4234,'542426199303280817 ,赵桂荣,1993-03-28,男,河北省福州市锡山北京街r座 741090
4235,'141126199003290149 ,马静,1990-03-29,女,广西壮族自治区成都市大东沈阳街F座 991184
4236,'450109199703271614 ,潘桂芝,1997-03-27,男,云南省济南市合川姚街x座 623451
4237,'230833200503252438 ,王静,2005-03-25,男,台湾省秀珍县涪城范街b座 751093
4238,'350821200203263890 ,陈凤英,2002-03-26,男,内蒙古自治区乌鲁木齐县清城林街Y座 275910
4239,'350521200703259998 ,师军,2007-03-25,男,湖北省贵阳县兴山济南路A座 793050
4240,'140226200703255109 ,孙瑜,2007-03-25,女,香港特别行政区通辽县花溪乌鲁木齐街n座 787127
4241,'410222199603274497 ,陈建,1996-03-27,男,西藏自治区淮安县浔阳周路K座 774898
4242,'542125200303266954 ,刘龙,2003-03-26,男,西藏自治区畅县沙市太原街n座 184996
4243,'211021199903278138 ,韩琳,1999-03-27,男,福建省玉英市牧野惠州路V座 642814
4244,'440205199403284243 ,王鑫,1994-03-28,女,天津市颖县大东黄街n座 710460
4245,'440233200003264025 ,曹旭,2000-03-26,女,重庆市香港市孝南石家庄路r座 376375
4246,'21102120050325604X ,谭兵,2005-03-25,女,福建省关岭县涪城兴安盟路D座 182179
4247,'360923200703256312 ,任丹丹,2007-03-25,男,澳门特别行政区昆明市吉区王路V座 730304
4248,'370301199003291243 ,吕林,1990-03-29,女,宁夏回族自治区柳州县大兴马街W座 221833
4249,'620122200403250756 ,焦文,2004-03-25,男,青海省文县璧山林街l座 991823
4250,'150501199303285267 ,张东,1993-03-28,女,黑龙江省帅市友好姜街b座 874925
4251,'340202199903277151 ,石洁,1999-03-27,男,河南省福州市沙湾薛路T座 739132
4252,'530322200403253817 ,余建平,2004-03-25,男,山东省瑜市秀英海口路T座 435002
4253,'440402200103265953 ,熊林,2001-03-26,男,黑龙江省斌市普陀齐齐哈尔路B座 301013
4254,'411281199403282776 ,武浩,1994-03-28,男,吉林省帆市长寿萧街S座 670252
4255,'341181200103263962 ,邓柳,2001-03-26,女,湖南省辉市魏都哈尔滨路u座 160433
4256,'150925200403254060 ,张玉梅,2004-03-25,女,上海市石家庄县花溪裴路y座 736525
4257,'620402200303269258 ,谭淑英,2003-03-26,男,江苏省玉兰县六枝特武汉街U座 843732
4258,'150724200203269586 ,舒洁,2002-03-26,女,海南省燕县滨城龙路W座 481075
4259,'640121199503286897 ,冯文,1995-03-28,男,山东省玉兰县山亭北镇街b座 692081
4260,'21130019930328642X ,邓凤兰,1993-03-28,女,天津市丹市南湖太原路g座 936295
4261,'130626199303289259 ,黄玲,1993-03-28,男,福建省昆明市城东田路N座 558516
4262,'610426199703278747 ,戴凯,1997-03-27,女,福建省丽娟市沙湾哈尔滨路y座 213701
4263,'610825199003298486 ,邱龙,1990-03-29,女,上海市台北县梁平汪路j座 686160
4264,'130501199803278369 ,何洋,1998-03-27,女,青海省萍市大兴王街d座 545391
4265,'421101200203268160 ,贾欣,2002-03-26,女,四川省莉市秀英合山街H座 936439
4266,'610830199403286856 ,徐英,1994-03-28,男,江西省嘉禾县六枝特李街m座 738488
4267,'130302199003295625 ,祝磊,1990-03-29,女,宁夏回族自治区瑞市金平周街z座 629393
4268,'210323199703273269 ,张秀荣,1997-03-27,女,湖北省永安市丰都沈阳路F座 816460
4269,'451000200703255327 ,冯阳,2007-03-25,女,海南省东市萧山唐街t座 535542
4270,'410305200403251973 ,张健,2004-03-25,男,天津市芳市锡山成都街i座 632518
4271,'53062619990327774X ,杨斌,1999-03-27,女,重庆市关岭县江北韩街a座 289316
4272,'150424199503289018 ,刘秀兰,1995-03-28,男,广西壮族自治区福州县合川沈阳街Q座 850096
4273,'140902199103298895 ,陈淑兰,1991-03-29,男,广东省帆县大兴永安路r座 128486
4274,'150921199603277856 ,梅荣,1996-03-27,男,北京市济南市新城关岭路B座 716350
4275,'441427200303269877 ,李柳,2003-03-26,男,重庆市帅市吉区香港街k座 439532
4276,'420300200003260336 ,马瑜,2000-03-26,男,新疆维吾尔自治区沈阳市涪城严街P座 943133
4277,'210000200203268572 ,张琴,2002-03-26,男,北京市长沙县清浦邹街P座 363022
4278,'653222200603258190 ,商林,2006-03-25,男,甘肃省柳州县房山汕尾路i座 183500
4279,'371523199503283442 ,刘峰,1995-03-28,女,广西壮族自治区东莞县上街澳门路p座 224375
